ChromID	Start	End	DoD	Gap-Ratio
7	158480000	159138663	2.728349908840934	0.030303030303030276
8	80000	2040000	3.0528557376688887	0.15306122448979587
8	6240000	6680000	2.225388346982227	0.011363636363636354
8	8000000	8520000	NA	0.20192307692307687
8	8560000	9720000	2.3978821457901978	0.012931034482758674
8	9720000	10280000	2.478001293539304	0.008928571428571397
8	10360000	10720000	2.655780728092006	0.08333333333333337
8	10720000	11200000	2.583443840839799	0.05208333333333337
8	11200000	11600000	2.542241779069584	0.025000000000000022
8	13560000	14720000	2.839144896216911	0.008620689655172376
8	16640000	17040000	2.165947230530182	0.0
8	17160000	17800000	2.0926042950078565	0.0
8	18760000	19200000	2.142857693692578	0.0
8	19200000	19680000	2.440162579308546	0.0
8	19720000	20080000	1.7300235529792691	0.01388888888888884
8	22000000	22440000	2.0916835713424238	0.045454545454545414
8	24320000	24960000	2.356924143981361	0.0
8	25000000	25320000	2.1034158943083745	0.0
8	25360000	25960000	2.756204069237665	0.008333333333333304
8	26520000	27120000	2.7423500964758505	0.008333333333333304
8	27120000	27640000	1.9947111293796347	0.009615384615384581
8	27640000	28200000	2.1400917989802766	0.0
8	28200000	29160000	2.3106658942730154	0.0
8	29200000	30040000	2.3176724385159373	0.0
8	30040000	30480000	2.5040159710753134	0.0
8	30480000	31080000	2.254653690827795	0.008333333333333304
8	33480000	34960000	2.865996107716776	0.030405405405405372
8	35000000	36680000	2.701720596191087	0.023809523809523836
8	36680000	37560000	2.462460204309228	0.0
8	37600000	38280000	2.1339053270163197	0.007352941176470562
8	38640000	38840000	1.85804598717637	0.0
8	38880000	39720000	2.827298787802403	0.011904761904761862
8	40960000	41400000	2.6220505660418225	0.022727272727272707
8	41440000	42000000	2.362534505856775	0.008928571428571397
8	42000000	42240000	2.1121004492819306	0.0
8	42240000	42920000	2.239312647509302	0.0
8	42920000	43400000	2.777045956729906	0.10416666666666663
8	43400000	43760000	2.9581558430237744	0.06944444444444442
8	46920000	47600000	NA	0.3897058823529411
8	47600000	47800000	3.7805334450470514	0.050000000000000044
8	47840000	48920000	2.5956440345952463	0.04166666666666663
8	48920000	49800000	2.7566725384454758	0.03977272727272729
8	49880000	52960000	2.7582399886064084	0.022727272727272707
8	52960000	53320000	2.675466067757696	0.0
8	53320000	55080000	2.740779345319063	0.042613636363636354
8	55080000	55400000	2.806717087275423	0.0
8	55520000	56720000	2.6529320088445933	0.008333333333333304
8	56720000	57080000	2.313994628670819	0.01388888888888884
8	61320000	62040000	2.2010682675072606	0.01388888888888884
8	62080000	62480000	2.4912086292842606	0.025000000000000022
8	62520000	64080000	2.7058658965136537	0.01602564102564108
8	64240000	65400000	2.7547813951367393	0.025862068965517238
8	66640000	66960000	1.6795506041251795	0.0
8	66960000	67360000	2.304796564789562	0.025000000000000022
8	67360000	67560000	1.9255663934429588	0.0
8	67560000	68720000	2.5334885490187733	0.004310344827586188
8	68720000	69440000	2.76061840650528	0.01388888888888884
8	69440000	70560000	2.743354076430911	0.017857142857142905
8	70560000	71600000	2.3692689162970835	0.014423076923076872
8	71600000	72720000	2.737364623498326	0.0357142857142857
8	73200000	74160000	2.723200694692597	0.02604166666666663
8	74200000	74560000	2.6366836757695644	0.0
8	74600000	75280000	2.3711092146465136	0.014705882352941124
8	79360000	80560000	2.7429748777915277	0.004166666666666652
8	80560000	80960000	2.258748955807668	0.012499999999999956
8	80960000	82160000	2.295141632207637	0.004166666666666652
8	82160000	82600000	2.1525500132637476	0.011363636363636354
8	82640000	85520000	2.8112097245498484	0.01736111111111116
8	85520000	86000000	2.4373533799904363	0.01041666666666663
8	86200000	87520000	NA	0.21590909090909094
8	87560000	89360000	2.7582300672712528	0.01666666666666672
8	89360000	90720000	2.8836905064092817	0.02573529411764708
8	94680000	95000000	2.0438935374121643	0.015625
8	95000000	95400000	2.52541613406336	0.025000000000000022
8	95560000	96280000	2.180751847986733	0.0
8	96280000	97240000	2.5823325891411124	0.02604166666666663
8	97240000	98600000	2.296233635151351	0.003676470588235281
8	98720000	99120000	2.4906668289551512	0.0
8	99120000	101160000	2.6565657864346366	0.019607843137254943
8	101160000	101560000	2.1936723186083094	0.0
8	101560000	102320000	2.0821788507231918	0.006578947368421018
8	102320000	103240000	2.452867113280785	0.021739130434782594
8	104680000	105520000	2.459989123205837	0.023809523809523836
8	105520000	105800000	2.0208637292814027	0.0
8	105800000	106800000	2.8334869907563407	0.0050000000000000044
8	106880000	107680000	2.4136648891143686	0.0
8	107680000	108800000	2.472745653076119	0.008928571428571397
8	108800000	109760000	2.572465058586578	0.015625
8	109840000	110360000	2.4925079028795945	0.009615384615384581
8	110360000	112280000	2.6890950201880544	0.00520833333333337
8	112440000	112840000	2.697893932251432	0.0
8	112920000	113480000	2.884019738225582	0.0
8	113760000	114440000	2.6981492856596807	0.0
8	114440000	115480000	2.6621508787043524	0.014423076923076872
8	115800000	118320000	2.650912974334393	0.009920634920634885
8	118320000	119560000	2.56466821013341	0.0040322580645161255
8	119720000	120440000	2.6209874398796056	0.03472222222222221
8	120440000	120840000	2.4768482971160943	0.012499999999999956
8	120840000	121120000	1.4525811910998	0.0
8	121120000	121440000	2.1019268585071	0.03125
8	121440000	121960000	2.348926307729824	0.009615384615384581
8	121960000	123680000	2.6203136196699974	0.014534883720930258
8	123680000	124240000	2.187009019338659	0.0
8	124240000	124760000	2.2276894428488783	0.0
8	125480000	126120000	2.0958975283604904	0.0
8	126120000	126720000	2.011279707750007	0.008333333333333304
8	126720000	127840000	2.7360515600796016	0.004464285714285698
8	127840000	128720000	2.6707587836941493	0.011363636363636354
8	130800000	131120000	2.4525207480522595	0.0
8	131120000	131720000	2.250164908807213	0.0
8	131720000	133040000	2.587395753182823	0.015151515151515138
8	133160000	133760000	2.2164350429101187	0.0
8	133880000	134200000	2.3930344999567437	0.0
8	134200000	134480000	2.069982439224378	0.0
8	139120000	139680000	2.5464221411053685	0.017857142857142905
8	139720000	140680000	2.8209605556541075	0.02083333333333337
8	140680000	141440000	2.7791992028820585	0.05921052631578949
8	141480000	141680000	3.331549549532256	0.025000000000000022
8	141680000	142440000	2.277202246003143	0.07236842105263153
8	142440000	143720000	NA	0.375
8	145760000	146364022	2.5258905839112957	0.1652892561983471
9	40000	320000	NA	0.375
9	320000	1000000	2.056768009170828	0.0
